RestName,Cuisine,foodType,IMcCd,MenuCatg,CTypUsedFor,ItemNm,ItemTyp,NV,Section,PckCharge,Rate,Rank,ItmDesc,Ingeredients,MaxQty,Rmks,PrepTime,Day,FrmTime,ToTime,AltFrmTime,AltToTime,videoLink,itemPortion
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,French Fries,Std,125,AC,25,160,33,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,Loaded Fries ,Std,125,AC,25,240,34,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,Tequila Sunrise Bruschetta Veg,Std,125,AC,25,210,35,"Homemade bruschetta chopped fresh tomatoes with garlic, basil, olive oil, olives and mozzarella, served on toasted slices of Italian bread.",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,Potato Wedges,Std,125,AC,25,240,34,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Salad,Food,Caesar Salad Veg,Std,125,AC,25,270,10,"Classic Caesar Salad with romaine lettuce, bread croutons,  parmesan cheese, and  homemade cream, garlic dressing.",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Salad,Food,Greek Salad,Std,125,AC,25,280,12,"Romaine lettuce onion, olives, bell peppers, tomatoes, cucumber and cheese. Whisked together with olive oil, oregano, lemon juice and black pepper.",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Salad,Food,Mexican Nachos Salad,Std,125,AC,25,270,13,"Layers of lettuce, tortilla chips, beans, onions, salsa, bell pepper and cheese served in a large salad  plate",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Salad,Food,Pasta Salad Veg,Std,125,AC,25,280,15,"A classic Italian cold?pasta salad?recipe with plenty of vegetables and pasta , dressing with pesto vinegar olive oil",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Main Course,Food,Baked Vegetable,Std,125,AC,25,400,52,"Freshly diced cut vegetable cooked in white sauce with cheese and baked, served with garlic bread",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Main Course,Food,Paneer Steak,Std,125,AC,25,470,53,"Cottage cheese marinated in herbs, grilled and served with fries and saut?ed vegetables with spicy tomato sauce on plate",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Main Course,Food,Chimichangas Veg,Std,125,AC,25,370,61,"Chimichanga is a deep-fried burrito, prepared by filling a flour tortilla with a wide range of ingredients, cheese, beans, veg and accompanied by salsa, sour cream",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Main Course,Food,Burritos Veg,Std,125,AC,25,340,64,"A burrito is a dish in Mexican and Tex-Mex cuisine. Ingredients such as beans, lettuce, salsa, cheese, sour cream and various vegetables ",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Main Course,Food,Mexican Rice Veg,Std,125,AC,25,370,66,An authentic Mexican Rice recipe. that is rice cooked with Mexican spices and served with tomato Mexican sauce,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Main Course,Food,Baked Enchilada Veg,Std,125,AC,25,370,68,An enchilada is a classic Mexican dish used as a hearty food. Described as a rolled tortilla stuffed with vegetables and covered with tomato chilli sauce and baked,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Main Course,Food,Quesadilla Veg,Std,125,AC,25,340,70,"A quesadilla is a corn tortilla filled with cheese, savoury mixes of spices, vegetables before the quesadilla is cooked on a griddle.",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Sizzler,Food,Veg Sizzler,NULL,125,AC,25,520,106,"A delicious blend of vegetable patty, with butter flavoured rice and packed with vegetables and fries that is placed on a sizzling iron plate.",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Sizzler,Food,Fajitas Veg,NULL,125,AC,25,420,107,Sizzling platter of garden fresh vegetables saut?ed in a Mexican herbed tomato sauce with Mexican beans. Accompanied with a tortilla and served with rice,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Sizzler,Food,Paneer Shaslik Sizzler,NULL,125,AC,25,520,109,"Paneer, bell pepper skewer and grilled, served on butter herb rice. Accompanied with fries and saut?ed vegetable with spicy tomato sauce on sizzling hot plate",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Sizzler,Food,Custom Veg Sizzler (Veg Patty-Exotic Vegetables),Bar,125,AC,25,270,113,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Sizzler,Food,Custom Veg Sizzler (Paneer-Steak-Shashlik-Patty),Bar,125,AC,25,320,114,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Pasta,Food,One Pot Macaroni Mushroom Sauce,Std,125,AC,25,450,89,Mushrooms and macaroni cooked together with creamy sauce,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Pasta,Food,Penne Arrabiata Veg,Std,125,AC,25,420,90,"Penne Arrabiata is an Italian recipe with penne pasta tossed in spicy tomato based sauce with parmesan, basil and parsley.",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Pasta,Food,Creamy Herb Penne Veg,Std,125,AC,25,430,92,"This creamy penne pasta has a burst of flavours of garlic and mixed herbs, delicious to the palate which will excite your taste buds",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Pasta,Food,Macaroni Pesto Veg,Std,125,AC,25,420,94,"Macaroni pasta cooked with incredible homemade basil pesto sauce, olives and herbs served in olive oil",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Pasta,Food,Spaghetti Carbonara,Std,125,AC,25,480,96,"Silky with egg and melted cheese, freshened with parsley, and spiked with black pepper, spaghetti carbonara brings intense flavours into balance",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Pasta,Food,Spaghetti Aglio Olio Veg,Std,125,AC,25,420,97,"Stir red pepper flakes, black pepper, and salt into the pasta and pour in olive oil and garlic, and sprinkle on parsley to finish",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Pasta,Food,Lasagne Veg,Std,125,AC,25,420,99,"Lasagne is classic layered pasta featuring vegetable and creamy sauce, top with the Parmesan and mozzarella then baked",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Pasta,Food,Mac & Cheese,Std,125,AC,25,430,101,"The Baked  Mac and Cheese recipe. An insane cheesy sauce, perfectly cooked macaroni and a golden, buttery, crunchy topping.",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Pasta,Food,Sicilian Pasta Veg,Std,125,AC,25,430,104,"This Sicilian pasta dish of sauted vegetables tossed with tomato sauce
and basil sauce together, topped with parmesan cheese",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Pizza,Food,Margarita Pizza,Hot Beverages,125,AC,25,300,72,Its homemade pizza topping with mozzarella and cooked,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Pizza,Food,Garden Fresh Pizza,Hot Beverages,125,AC,25,370,73,Its homemade pizza topping with mozzarella and freshly cut exotic vegetable then cooked,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,"Small 8"""
Vijay New Dhaba,Mexican - Italian,Veg,0,Pizza,Food,Garden Fresh Pizza,Hot Beverages,125,AC,25,470,73,Its homemade pizza topping with mozzarella and freshly cut exotic vegetable then cooked,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,"Medium 10"""
Vijay New Dhaba,Mexican - Italian,Veg,0,Pizza,Food,Garden Fresh Pizza,Hot Beverages,125,AC,25,570,73,Its homemade pizza topping with mozzarella and freshly cut exotic vegetable then cooked,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,"Large 12"""
Vijay New Dhaba,Mexican - Italian,Veg,0,Pizza,Food,Paneer Tikka Pizza,Hot Beverages,125,AC,25,390,74,"This Pizza is an interesting fusion recipe where the toppings is with paneer  tikka, baked in oven  with cheese",-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Pizza,Food,Pesto Pizza Veg,Hot Beverages,125,AC,25,380,76,"Spread a thin layer of pesto sauce over the crust. Top with mozzarella cheese, and vegetables and finished with salsa",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Pizza,Food,Three Cheese Pizza Veg,Hot Beverages,125,AC,25,500,82,"Three Cheese Pizza loaded with mozzarella, Parmesan cheese and yellow cheddar cheese.",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Extras,Food,Onion & Chilly,Std,125,AC,25,70,84,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Extras,Food,Olives or Jalapenos ,Std,125,AC,25,95,85,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Extras,Food,Paneer or Mushroom,Std,125,AC,25,140,86,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Extras,Food,Baby Corn or Red / Yellow Pepper,Std,125,AC,25,95,87,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Extras,Food,Cheese,Std,125,AC,25,170,88,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Accompaniment,Food,Rice Or Spaghetti,Std,125,AC,25,170,116,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Accompaniment,Food,French Fries Or Potato Wadges,Std,125,AC,25,120,117,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Accompaniment,Food,Mash Potato,Std,125,AC,25,140,118,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Accompaniment,Food,Garlic Bread,Std,125,AC,25,90,119,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Accompaniment,Food,Saute Spinach,Std,125,AC,25,120,120,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Accompaniment,Food,Saute Vegetable,Std,125,AC,25,120,120,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Shorba,Food,Corn And Vegetable Dhania Ka Shorba,Std,125,AC,25,250,121,Indian spiced coriander soup with vegetable and corn,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Shorba,Food,Dal-E-Veg Shorba,Std,125,AC,25,260,122,Indian style lentil and vegetable broth soup,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Starters (I),Food,Vegetable Sikkimpuri Tikki,Std,125,AC,25,370,126,"Freshly chopped vegetable, mawa, onions patty shallow fried with ghee and served with saffron yogurt dip",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Starters (I),Food,Cheesy Paneer  Tikki,Std,125,AC,25,370,127,"Minced cottage cheese patty stuffed with cheese, marinated in Indian spices and fried",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Starters (I),Food,Paneer  Papadi,Std,125,AC,25,370,128,Crispy pappad wrapped on minced paneer patty marinated in indian spices and mint chutney then fried,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Starters (I),Food,Vegetable Khasta Tikki,Std,125,AC,25,400,127,Freshly chopped vegetables patty mixed with spices and deep fried with coconut flavor,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Tandoor,Food,Vegetable Makhmali  Kabab,Std,125,AC,25,320,132,Freshly minced vegetable with cashew paste and special spices and cooked on skewers,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Tandoor,Food,Paneer Tikka  Lahori,Std,125,AC,25,370,133,Medium spicy charcoal preparation of paneer with chefs special lahori masala,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Tandoor,Food,Burnt Garlic Paneer Tikka,Std,125,AC,25,400,134,Cubes of fresh paneer marinated in burnt garlic with TS secret spices and cooked,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Tandoor,Food,Paneer Hill Top,Std,125,AC,25,400,136,"Paneer stuffed with cheese and mince, marinated in TS secret spices",-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Tandoor,Food,Paneer Kachha Nimbu Ka Kabab,Std,125,AC,25,370,138,"Paneer marinated in lime juice, lime zest and tandoori spices",-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Main Course (I),Food,Veg Begum Bahar,Std,125,AC,25,280,156,Combination of Tomato and Spinach gravy with fresh vegetables served on platter,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Main Course (I),Food,Tikhe Swad Ki Sabzi,Std,125,AC,25,350,157,Freshly chopped vegetable cooked with chef?s special spicy gravy,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Main Course (I),Food,Vegetable Lajawab,Std,125,AC,25,350,158,Fresh vegetables cooked with chef?s special gravy,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Main Course (I),Food,Stuff Tomato,Std,125,AC,25,310,159,Chopped vegetables stuffed in hollow tomato and cooked in onion tomato gravy,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Main Course (I),Food,Stuff Simla-Mirch,Std,125,AC,25,310,159,Chopped vegetables stuffed in hollow capsicum and cooked in onion tomato gravy,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Main Course (I),Food,Bhindi Tomato Rassewala,Std,125,AC,25,320,160,Fresh okra cooked in home-made spicy gravy,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Main Course (I),Food,Multani Mushroom,Std,125,AC,25,370,161,Button mushroom cooked on charcoal and tossed in chefs secret gravy,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Main Course (I),Food,Paneer Lazeez,Std,125,AC,25,370,162,Combination of onion gravy with cheesy medium spicy flavour,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Main Course (I),Food,Paneer Pasanda,Std,125,AC,25,400,163,"Stuffed paneer cooked in onion, cashew nut gravy with chef?s spicy touch",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Main Course (I),Food,Bhatti Ka Paneer Masala,Std,125,AC,25,340,164,Tandoori flavour paneer tossed in freshly chopped onion and tomato in spicy chefs preparation,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Main Course (I),Food,Dal Tadka,Std,125,AC,25,220,165,Traditional mixed yellow lentils,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Main Course (I),Food,Dal Kolhapuri,Std,125,AC,25,270,166,Kolhapuri style spicy mixed yellow lentils,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Main Course (I),Food,Toofani Paneer,Std,125,AC,25,370,167,Cottage cheese cooked in chef?s special spicy gravy serving on sizzling platter,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,South Indian,Food,Cyloni Curry Chicken,Std,125,AC,25,380,189,Chefs secret spices with combination of lentil and coconut based sri-lankan style gravy,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,South Indian,Food,Cyloni Curry Mutton,Std,125,AC,25,470,189,Chefs secret spices with combination of lentil and coconut based sri-lankan style gravy,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Roti,Std,125,AC,25,45,208,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Paratha,Std,125,AC,25,55,209,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Naan,Std,125,AC,25,60,210,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Kulcha,Std,125,AC,25,60,211,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Butter Roti,Std,125,AC,25,50,212,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Butter Paratha,Std,125,AC,25,60,213,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Butter Naan,Std,125,AC,25,65,214,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Butter Kulcha,Std,125,AC,25,70,215,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Missi Roti,Std,125,AC,25,90,216,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Khasta Roti,Std,125,AC,25,70,217,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Lachedar Paratha,Std,125,AC,25,80,218,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Reshmi Paratha,Std,125,AC,25,130,219,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Garlic Naan,Std,125,AC,25,90,220,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Stuff Naan,Std,125,AC,25,140,221,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Cheese Naan,Std,125,AC,25,140,222,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Cheese Garlic Naan,Std,125,AC,25,165,223,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
Vijay New Dhaba,Snacks,Veg,0,Breads,Food,Cheese Stuff Naan,Std,125,AC,25,190,224,-,-,0,-,5,Sunday,12:00:00,17:00:00,19:00:00,23:59:00,NULL,Std
